crop,stress,intervention,n,germination_mean,vigour_mean,leakage_mean,mda_mean,proline_mean,catalase_mean,recovery_mean
Pepper,Heat,ProteinHydrolysate,180,73.57924621438875,576.4652969905171,24.984525918583625,4.957797222630077,25.60866893335923,0.034769634755590084,62.03551539337142
Pepper,Heat,ResiliencePrimer,180,74.87602741945037,598.3190823841906,22.554404166147776,4.658044163559906,24.724104579590545,0.03753006057375634,65.30669617048804
Pepper,Heat+Drought,Hydropriming,180,58.647360323336486,356.7346289603052,34.72480987323976,11.009832620638125,42.04025152488841,0.0390807043478197,41.641203241392034
Pepper,Heat+Drought,Melatonin,180,62.35397846265943,397.75924660332726,31.443409859133922,9.508239587964141,39.53516113614208,0.041681572964998956,48.145261532245385
Pepper,Heat+Drought,None,180,54.26236439266928,295.9405605398624,39.12190292139822,12.304591525224277,44.87795341055607,0.03516246024005148,35.405215574600454
Pepper,Heat+Drought,ProteinHydrolysate,180,61.36971105430958,395.8776775179148,30.911852435471637,9.41715734663836,42.89464467656956,0.042970976623822134,49.14527621011582
Pepper,Heat+Drought,ResiliencePrimer,180,63.638316084950375,426.1299725353042,28.092634366045267,9.05232586958612,40.95037938632056,0.04562039463914145,53.30315063324298
Tomato,Control,Hydropriming,180,83.42752415585943,738.0780142676988,22.20805931391976,3.674704886000339,18.06518457644628,0.023653621001283393,95.33063200539756
Tomato,Control,Melatonin,180,83.4858754856204,741.1064539197488,20.21440900187159,3.1249099738435855,17.31911959308192,0.02664163029291046,95.46364913352156
Tomato,Control,None,180,83.72041236605688,743.1692695447651,24.91075582916902,4.01414999639104,19.177648887047148,0.019913033514428476,95.44763620209437
Tomato,Control,ProteinHydrolysate,180,83.86093228210832,741.7012622716644,19.510399538255896,3.1093652377461747,18.513787586488043,0.027929152260857994,95.46064368141272
Tomato,Control,ResiliencePrimer,180,83.7662618056992,744.0957292164428,18.01439414447099,2.996392052855983,17.240161043022663,0.02992602118227095,95.52314536145619
Tomato,Drought,Hydropriming,180,66.43571714251053,451.56277181217865,30.815665974015722,7.5687280380158946,35.0447800109548,0.03365796040017828,51.69935295655312
Tomato,Drought,Melatonin,180,69.02476095940963,480.0595471129228,28.144979349930473,6.539096430822189,33.480759713873184,0.036765303804748996,56.12181341849347
Tomato,Drought,None,180,63.66645698620785,411.3855010328227,34.511567722584694,8.487725231476311,36.87405629918644,0.029751403198810877,45.34199427479399
Tomato,Drought,ProteinHydrolysate,180,68.25717623479362,480.7553065334997,27.126982193101163,6.480877752067315,35.67995867969845,0.03798794221680398,56.8863558712379
Tomato,Drought,ResiliencePrimer,180,70.09661515968185,501.7012561329368,24.971113504789173,6.1578675005435635,33.74473640528475,0.04100179175994585,60.166154252337066
Tomato,Heat,Hydropriming,180,71.55690976736808,535.3620157424809,28.32638307258393,5.780724847746725,25.513599790966566,0.030154014172609826,56.22823392006673
Tomato,Heat,Melatonin,180,73.11068487667804,551.3399741647524,25.669719083501786,4.984171986385807,24.548148316646493,0.032571233757899554,60.29690882311158
Tomato,Heat,None,180,69.1505480171779,499.9123348000919,31.859421473669606,6.541301418660713,27.03396062621499,0.025570473575270716,52.14613042169036
Tomato,Heat,ProteinHydrolysate,180,72.52893884261867,547.4790861746953,25.029510363309722,5.019162635870042,25.93827729783851,0.034219809019994045,60.62482960954373
Tomato,Heat,ResiliencePrimer,180,73.94278007439681,573.0274250548882,22.895318615415817,4.685909255634171,24.28384918715492,0.035987786472502864,63.791795546873324
Tomato,Heat+Drought,Hydropriming,180,57.66837178094391,337.269245430171,35.12838166129125,11.131421435388372,42.25021408140983,0.03784262153998483,41.75870481240635
Tomato,Heat+Drought,Melatonin,180,61.06658840499179,374.7969026926989,32.007153794919766,9.571532651989916,39.867512377327515,0.04094412842152611,47.6463627029237
Tomato,Heat+Drought,None,180,54.06310151263322,284.4604552666278,39.74031909047926,12.453219152683532,44.9039099237888,0.03406549923929633,34.30314635409341
Tomato,Heat+Drought,ProteinHydrolysate,180,60.599176856434134,374.72075666864475,31.647920351412925,9.431688944662499,43.80264164804119,0.04143666627050403,47.4948234983828
Tomato,Heat+Drought,ResiliencePrimer,180,63.33492332165464,409.801985627872,27.899547150891124,9.067737771431252,40.52588188655266,0.04461190093926851,52.340073751016014
